,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
113,Al3.0CoCrCuFe,BCC,644,0.452237491,0.38382218,0.464285714,0.040994451,0.283738665,0.055045,0.32592292,0.678741843,0.35038812,0.740428988,0.378718079,0.668207519,0.190095282,0.417724201,0.744308231,0.188273821,0.460916389,0.151269262,0.266332411,0.002207599,0.560709413,0.319031142
114,Al0.75CoCrFeNi,FCC + BCC,334,0.354536585,0.514825402,0.641812865,0.164021157,0.420077299,0.221838409,0.572783759,0.442708281,0.58951716,0.428262291,0.584571351,0.379126555,0.09163443,0.448949944,0.838326113,0.365447099,0.394370696,0.231041387,0.190930215,0.002777682,0.523055935,0.21384083
115,Al0.5CoCrCuFeNiTi2,FCC + BCC + Im,696,0.498774055,0.792861034,0.601851852,0.673133135,0.385101185,0.241435053,0.455211841,0.498040396,0.453950544,0.551119281,0.490112097,0.416550286,0.11339104,0.315505069,0.6882662,0.774555935,0.549687206,0.256244572,0.266272678,0.001959903,0.377080491,0.500346021
116,Al0.2Co1.5CrFeNi1.5Ti,FCC + Im,717,0.4376745,0.593030397,0.666218638,0.608170171,0.439115933,0.281308731,0.590783507,0.382936091,0.588620134,0.390523439,0.596112346,0.298457683,0.075222695,0.301270798,0.78102932,0.681797837,0.50728953,0.277126864,0.137567163,0.001689994,0.370804911,0.402768166
117,AlCrFeNiMo0.5Ti0.75,BCC + Im,766.2,0.476541552,0.679758727,0.484126984,0.584109555,0.360963488,0.274452696,0.540118446,0.692448176,0.550003448,0.704575895,0.540961539,0.604101716,0.119728469,0.456526615,0.655074639,0.493426407,0.495821152,0.287649818,0.510962246,0.001503689,0.320873124,0.490657439
118,NbTiVZr,BCC,335,0.474549389,0.293304947,0.236111111,0.267371955,0.334577974,0.508324385,0.177977694,0.292603188,0.225580647,0.496732235,0.384619636,0.441640046,0.153991808,0.277920166,0.218914186,0.670219184,0.480276718,0.613861386,0.4330237,0.47383552,0.821555252,0.392387543
119,Al0.5CoCrCuFeNiV0.4,FCC + BCC,231,0.271471958,0.812784439,0.729284369,0.32386015,0.455369888,0.223254722,0.536814116,0.412288061,0.54161011,0.430606967,0.577507633,0.296712632,0.081919594,0.343202672,0.847606044,0.329678569,0.30263972,0.230487277,0.281713788,0.013405741,0.723601637,0.137024221
120,AlCoCrFeMo0.5Ni1.5,FCC + BCC + Im,586,0.374828152,0.662238781,0.62962963,0.406613106,0.436454156,0.257194396,0.637170314,0.546067622,0.63692807,0.541735833,0.620879273,0.471233433,0.088492155,0.483744998,0.801225919,0.310074402,0.439066318,0.275490707,0.472650447,0.003083817,0.506684857,0.355017301
121,Al2.3CoCrCuFeNi,FCC + BCC,600,0.432994729,0.639090479,0.579528158,0.09495243,0.350112308,0.10340948,0.421303503,0.622811898,0.430540237,0.654122861,0.451958269,0.577279127,0.152446093,0.44865827,0.801885661,0.229000989,0.471872627,0.177946562,0.274148751,0.002681705,0.534515689,0.31349481
122,CoFeMoNi1.4V,FCC + Im,538,0.239403059,0.510336657,0.691358025,0.72473232,0.519481451,0.399853135,0.8001816,0.416616945,0.747397991,0.475202676,0.744689147,0.276917156,0.033955627,0.120519479,0.756632289,0.291723455,0.353116521,0.407079304,0.470696556,0.004673003,0.578171896,0.384775087
123,Al0.5CoCrFeMo0.5Ni,FCC + Im,425,0.323006574,0.66214895,0.652777778,0.437310382,0.467892869,0.306970789,0.681818182,0.481378152,0.689427667,0.459266282,0.669264141,0.382495544,0.065924724,0.425911003,0.800350263,0.351819827,0.38827449,0.2945284,0.473138521,0.004887684,0.586084584,0.314878893
124,Ti0.25NbMoTaW,BCC,478.3,0.156167712,0.438255099,0.362745098,0.085442403,0.950607542,0.961240077,0.952187314,0.747442351,0.950699048,0.707516636,0.955665761,0.444992365,0.011604224,0.32223407,0.23642732,0.116984658,0.111268293,0.963246789,0.32200615,0.011346522,0.655661664,0.09550173
125,Al0.5B0.2CoCrCuFeNi,,415,0.539422286,0.773965268,0.734405458,0.444528678,0.449062314,0.217728491,0.553881284,0.398723778,0.528631696,0.532696633,0.581236035,0.302691725,0.081627963,0.351411279,0.894245245,0.451808185,0.347972662,0.225702349,0.29049215,0.010589615,0.70313779,0.149480969
126,AlCuFeNiTi,FCC,516,0.48612011,0.520809939,0.611111111,0.601098668,0.351910755,0.130003435,0.419928451,0.614414574,0.387974039,0.662109436,0.404487551,0.490674677,0.154223665,0.351121707,0.73380035,0.506173336,0.533020214,0.216779573,0.335136119,0.000880193,0.325784447,0.46366782
127,CoCuFeMnNiSn0.10,FCC + Im,253,0.328984067,0.587030797,0.847494553,0.175392946,0.514974108,0.162579266,0.645670347,0.27389389,0.62849432,0.28611993,0.48188947,0.522231888,0.144535672,0.539766379,0.943820611,0.198966182,0.483345769,0.174886839,0.383446679,0.024176409,0.872851296,0.236678201
128,Al0.10CoCrFeMnNi,FCC,180,0.241036588,0.587030797,0.708605664,0.200096947,0.473956088,0.254773965,0.664609741,0.214758131,0.687103292,0.143029473,0.535226011,0.523321177,0.13274581,0.595423464,0.86793036,0.309476664,0.134873866,0.200839898,0.344551107,0.008120808,0.681309686,0.044290657
